"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"23080",55,"technician","divorced","university.degree","no","no","no","cellular","aug","tue",104,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"19346",51,"entrepreneur","married","basic.9y","no","no","no","cellular","aug","wed",135,1,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
"15411",38,"blue-collar","married","basic.9y","no","no","no","cellular","jul","fri",610,1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes"
"32666",31,"technician","single","university.degree","no","yes","no","cellular","may","mon",1514,1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"yes"
"35785",25,"student","single","high.school","no","yes","no","cellular","may","mon",18,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
"26004",34,"services","married","high.school","no","no","no","cellular","nov","wed",89,3,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no"
"14544",35,"services","married","high.school","no","yes","no","cellular","jul","tue",377,4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"5643",38,"admin.","married","high.school","unknown","yes","no","telephone","may","mon",265,9,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"4779",33,"blue-collar","married","basic.6y","unknown","no","no","telephone","may","wed",229,2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"20016",30,"blue-collar","married","high.school","no","yes","no","cellular","aug","fri",765,3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"30408",32,"student","married","high.school","no","yes","no","cellular","apr","thu",753,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes"
"37459",27,"admin.","single","high.school","no","no","yes","cellular","aug","thu",255,2,999,1,"failure",-2.9,92.201,-31.4,0.873,5076.2,"no"
"18923",37,"technician","single","professional.course","no","yes","no","cellular","aug","mon",44,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
"25073",33,"services","married","high.school","no","no","no","cellular","nov","tue",102,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
"811",57,"self-employed","single","high.school","unknown","no","no","telephone","may","wed",139,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"35270",41,"blue-collar","married","basic.4y","no","yes","no","cellular","may","fri",232,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
"5636",47,"technician","married","professional.course","unknown","no","yes","telephone","may","mon",68,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"24950",32,"technician","divorced","professional.course","no","yes","no","cellular","nov","tue",78,1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
"26349",56,"admin.","divorced","university.degree","no","yes","no","cellular","nov","thu",88,2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"10722",55,"technician","married","basic.9y","no","yes","no","telephone","jun","tue",183,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"34047",58,"management","married","basic.6y","unknown","no","no","cellular","may","wed",159,2,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no"
"37840",48,"management","married","university.degree","unknown","yes","no","cellular","aug","fri",207,3,999,1,"failure",-2.9,92.201,-31.4,0.825,5076.2,"no"
"26558",56,"management","divorced","university.degree","no","yes","no","cellular","nov","thu",487,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"10755",36,"blue-collar","married","university.degree","unknown","no","no","telephone","jun","tue",338,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
